M5#, time(ms), gX (deg/s), gY (deg/s), gZ (deg/s), aX (g), aY (g), aZ (g), pitch (deg), roll (deg), yaw (deg)
8,48,-2.85,308.12,-173.52,1.691,0.005,0.204,-14.2,-35.7,-34.4
8,50,22.66,221.75,-133.48,1.832,-0.243,0.523,-25.2,-34.5,-41.1
8,50,-15.18,89.12,-87.76,1.692,-0.185,0.427,-29.7,-35.3,-45.5
8,53,-29.58,91.26,-30.64,1.284,-0.24,0.246,-18.1,-32.9,-38.5
8,48,-30.93,0.26,-14.1,1.041,0.002,-0.02,-2.1,-29.2,-33.4
8,50,6.12,-15.55,-5.25,0.998,-0.104,0.135,11,-25.5,-27.5
8,51,-11.03,35.66,-24.78,0.727,-0.101,0.56,15.6,-23.1,-18.8
8,50,-25.8,8.56,-21.54,0.995,-0.088,0.578,21.8,-21.4,-12.4
Next Letter: 9,,,,,,,,,,
9,69,2.7,-0.9,-0.36,0.883,-0.013,0.529,59.4,-0.4,30.3
9,33,0.14,-1.51,-0.85,0.868,-0.008,0.518,59.4,-0.4,30.4
9,49,-0.04,0.26,-1.58,0.891,-0.004,0.533,59.4,-0.4,30.4
9,50,1.3,-0.6,-3.72,0.848,0.011,0.536,59.1,-0.2,30.5
9,50,-8.04,-6.88,-12.63,0.954,0.071,0.5,59.9,0.1,29.5
9,51,-17.68,-17.69,-15.56,0.975,0.012,0.438,61.5,-0.6,28.1
9,50,-3.03,-15.73,-4.51,0.975,-0.018,0.327,63.7,-0.8,26.4
9,50,41.1,-0.96,46.15,1.746,0.107,0.041,67.1,1.6,24.6
9,51,53.18,-152.45,157.84,1.943,-0.201,0.055,74.9,4.3,32.7
9,57,33.95,-269.95,217.23,1.745,-0.418,0.363,90.3,6.2,45.1
9,43,13.75,-356.86,222.23,1.389,-0.573,0.534,105.6,6.8,54.6
9,50,-22.2,-347.77,199.71,0.968,-0.749,0.429,123,5.7,64.6
9,50,-64.92,-274.52,118.47,0.49,-0.973,0.066,120.2,-7.4,60.5
9,50,-97.88,-249.87,48.47,0.59,-0.779,-0.073,118.4,-18.3,52.8
9,50,-91.17,-370.11,-4.02,0.602,-0.086,-0.379,124.9,-20.5,39.9
9,50,-20.98,-458.18,-36.37,-0.778,0.708,-0.481,119.3,-12.6,28.7
9,50,106.16,-86.66,-151.67,-0.704,0.715,-0.616,123.6,-7.3,21.1
9,51,94.5,-54.92,-205.81,-0.418,0.382,-0.051,100.4,4.2,8.3
9,50,0.45,5.14,-190.73,0.119,-0.09,0.035,100.1,4.2,-1.3
9,50,-119.98,-27.7,-181.33,0.486,-0.445,0.052,93.4,-7.9,-8.1
9,51,-210.8,-7.92,-126.03,0.672,-0.586,-0.179,86.8,-21.8,-14.1
9,49,-246.87,30.29,-59.57,0.98,-0.735,-0.721,85.4,-33.9,-17
9,50,-231.49,50.24,37.48,1.008,-0.774,-1.366,82.9,-45.5,-15.1
9,50,-172.47,-14.7,141.18,0.748,-0.277,-2.041,83.6,-54.1,-8
9,50,-39.29,-23.55,186.65,0.376,-0.01,-2.186,84.8,-56.1,1.3
9,50,73.08,-41.37,176.09,0.155,0.099,-1.797,86.8,-52.4,10.1
9,50,144.37,-106.37,141.12,0.058,0.129,-1.396,78.7,-37.6,1.9
9,51,189.96,-67.86,86.31,-0.079,0.125,-1.047,69.2,-22.8,-6.9
9,50,215.84,-24.83,42.42,-0.149,0.085,-0.648,57.9,-9.1,-15.3
9,51,200.15,5.87,19.23,-0.205,0.003,-0.284,57.6,1.1,-14.4
9,49,143.33,33.4,3.3,-0.141,-0.141,-0.026,56,8.2,-14.2
9,51,39.94,14.29,3.48,-0.194,-0.129,0.168,55.3,10.2,-14
9,49,-66.88,3.98,-5.12,-0.212,-0.21,0.237,41.7,0.9,-6.4
9,52,-138.53,47.92,-37.59,-0.13,-0.178,0.159,39.2,-6.3,-8.3
9,48,-198.83,111.1,-84.59,-0.116,-0.121,-0.207,33.9,-15.9,-12.4
9,52,-171.55,157.42,-106.87,0.77,-0.106,-0.754,28.7,-21.9,-21.9
9,48,-136.21,188.24,-97.59,0.866,-0.158,-0.959,22.9,-25.2,-29.7
9,51,-138.84,121.66,-73.6,0.977,-0.04,-1.334,16.7,-32.3,-33.4
9,50,-110.94,101.33,-66.77,1.011,-0.21,-1.484,11.7,-37.9,-36.8
9,50,-48.08,58.85,-41.93,0.897,0.175,-1.452,8.7,-40.3,-38.9
9,50,33.77,41.27,-5.61,0.99,0.111,-1.095,6.7,-38.6,-39.2
9,52,63.31,40.72,29.42,0.866,0.158,-0.696,11.4,-28.8,-37.7
9,50,65.02,120.86,44.68,0.666,0.028,-0.365,13.8,-21.4,-34.5
9,54,44.21,204.42,45.54,0.752,-0.144,-0.185,13.2,-17.7,-29.2
9,49,6.31,202.65,12.33,0.681,-0.284,-0.006,12.9,-18.2,-24.4
9,51,-12.19,206.62,-42.66,0.758,-0.274,0.025,12.5,-19,-22.3
9,46,-13.1,220.59,-78.37,0.898,-0.183,0.177,13.1,-18.3,-20.4
9,55,-14.02,203.2,-85.75,1.23,-0.075,0.342,12.8,-16.7,-19
9,46,-32.7,106.03,-56.94,1.25,-0.08,0.357,17.8,-16,-16
9,50,-32.09,73.5,-36.86,1.159,-0.026,0.333,23.1,-15.2,-12.8
9,50,11.98,19.97,-20.32,1.17,0.149,0.153,30.7,-11.3,-10.6
9,50,25.23,-15.67,3.6,0.638,0.008,0.376,35.7,-8.5,-4.3
9,50,10.58,36.14,-2.01,0.865,0.058,0.556,37.4,-6.3,1.2
9,50,-2.67,-0.54,-3.84,1.036,0.057,0.507,41.4,-5,4.7
9,50,-9.08,-16.53,-1.71,0.891,0.066,0.459,45.2,-4.1,8
9,50,-12.25,-8.11,-0.24,0.902,0.092,0.491,47.9,-3.2,11.1
9,50,-6.45,-7.62,0.25,0.857,0.105,0.502,49.9,-2.1,14
9,52,-0.47,6.24,0.86,0.85,0.091,0.477,51.2,-1,16.3
9,48,2.77,14.29,1.47,0.901,0.101,0.517,51.9,0.1,18.3
9,51,2.52,-5.91,1.04,0.904,0.078,0.523,53.3,0.8,20.1
Next Letter: a,,,,,,,,,,
a,41,1.73,-1.64,-1.64,0.957,0.205,-0.066,78.1,12.4,-3.7
a,78,0.69,-1.33,-2.44,0.969,0.208,-0.066,78.1,12.4,-3.9
a,26,-0.9,-0.84,-1.09,0.968,0.205,-0.065,78,12.3,-3.9
a,47,-1.26,-2.49,-1.09,0.966,0.204,-0.075,78,12.2,-4
a,50,-2.24,0.13,-0.48,0.96,0.197,-0.077,77.9,12,-4.1
a,50,-4.13,3.19,4.22,0.932,0.249,-0.147,77,12.3,-4.6
a,50,11.68,44.02,12.03,1.058,0.338,-0.356,73.4,13.4,-6.1
a,50,95.17,1.35,97.35,1.781,0.196,-0.605,73.3,18.2,-1.2
a,50,140.89,-85.56,188.72,1.696,-0.042,-0.479,77.6,25.2,8.2
a,66,131.31,-216.54,244.33,1.462,-0.237,-0.283,89.5,27.5,19.1
a,34,127.15,-321.77,233.59,1.059,-0.389,-0.191,95.5,24,21.5
a,52,134.23,-372.24,180.67,0.711,-0.417,-0.133,106.4,21.9,24.9
a,52,116.66,-312.85,89.24,0.196,-0.352,-0.103,108.5,15.1,23
a,46,46.77,-205.37,10.32,0.086,-0.032,-0.096,117.9,17.2,23.4
a,50,-29.4,-131.4,-54.81,-0.13,0.218,-0.002,124.5,15.8,20.7
a,52,-85.19,-11.22,-114.74,-0.155,0.166,-0.08,125.1,11.3,14.7
a,48,-114.18,138.99,-209.41,0.05,0.006,-0.118,118.4,5.9,4.7
a,50,-144.82,110.73,-277.16,0.833,-0.072,-0.371,105.8,-1.9,-11.4
a,50,-180.83,-29.28,-259.33,1.125,-0.328,-1.079,107.2,-10.9,-24.4
a,51,-146.77,-92.21,-175.9,1.104,-0.16,-1.791,111.9,-18.4,-33.3
a,50,-5.47,121.9,-19.83,1.384,-0.331,-1.999,105.9,-18.7,-34.3
a,50,98.16,81.25,134.22,1.329,-0.632,-1.373,101.8,-13.7,-27.6
a,50,156.57,-23.91,215.27,1.074,-0.369,-0.824,103,-5.9,-16.8
a,50,190.51,-51.99,211.67,0.467,-0.399,-0.407,95.6,-1.8,-10.3
a,50,158.65,4.47,162.72,0.376,-0.396,-0.106,87.5,-1.6,-3.5
a,50,66.61,33.22,118.96,0.222,-0.234,-0.026,85.8,1.7,2.4
a,50,-47.04,76.43,72.39,0.23,-0.182,0.157,76.3,-5.5,9.4
a,50,-203.66,47.68,30.58,0.198,-0.105,0.002,73.9,-15.7,10.9
a,50,-311.44,81.49,-4.7,0.256,-0.151,-0.101,67.5,-30.9,6.2
a,50,-340.19,60.68,5.13,0.533,0.229,-1.06,58.7,-39.1,-3.7
a,50,-186.32,60.74,-2.68,0.625,0.362,-1.963,55.7,-48.4,-3.8
a,50,43.29,49.33,-25.94,0.407,0.329,-1.944,53.2,-46.2,-5.1
a,50,220.36,70.26,-40.1,0.738,0.203,-1.256,49.7,-35.2,-7.1
a,50,300.62,31.87,-49.37,0.553,0.001,-0.61,47.2,-17.2,-15.3
a,50,313.56,-21.05,-65.43,0.577,-0.255,-0.259,49.7,-4.5,-19.1
a,50,264.24,-58.4,-96.07,0.58,-0.507,-0.032,52.1,1.2,-20.7
a,50,161.88,-95.63,-100.7,0.777,-0.841,0.13,54.7,0.9,-20.9
a,51,16.44,-88.79,-59.57,0.643,-1.095,0.197,54.8,-7.3,-19
a,49,-95.62,18.69,52.92,1.146,-0.706,0.06,54.6,-14.9,-13.6
a,50,-162.46,45.36,127.2,0.869,-0.6,-0.133,52.7,-24.8,-7.2
a,51,-212.93,57.51,176.03,0.846,-0.477,-0.375,50.4,-34.4,-1.7
a,49,-228.25,10.39,166.45,0.497,0.035,-0.782,47.3,-38.4,-3.1
a,52,-155.44,15.09,118.9,0.112,0.32,-1.051,40.4,-37,-8.2
a,49,-72.92,3.74,27.04,0.042,0.172,-0.944,34.6,-32.9,-17.8
a,50,-20.49,71.67,-53.46,0.305,0.048,-0.772,29.6,-28.4,-27.6
a,52,-12.31,56.16,-87.52,0.613,-0.079,-0.616,29.3,-25.4,-34.1
a,49,-33.61,116.53,-93.38,0.622,-0.197,-0.612,26.7,-24.9,-39.3
a,49,-49.85,171.4,-96.19,0.88,-0.237,-0.45,24.5,-25.3,-41.4
a,50,-62.05,179.46,-84.1,1.078,-0.229,-0.215,24.3,-25.9,-40.4
a,51,-82.38,116.47,-71.77,1.038,-0.212,-0.134,27.1,-27.3,-38.5
a,49,-101.12,127.58,-52.3,1.041,-0.078,-0.142,29.9,-28.1,-36.1
a,51,-86.53,86.38,-45.53,1.113,0.356,-0.327,31.6,-25,-35
a,49,-15.42,102.06,-26.42,1.017,0.277,-0.244,33.1,-19.7,-32.8
a,51,33.1,68.43,-15.32,1.202,0.184,-0.548,34.8,-14.1,-32.2
a,50,61.79,6.97,7.08,1.009,0.01,-0.057,42.3,-9.3,-27.5
a,52,10.94,-27.7,6.72,0.94,0.142,0.017,49.4,-6.1,-23
a,47,-3.89,-15.31,-0.06,0.933,0.24,-0.101,53.8,-3.2,-20.4
a,51,-0.41,-17.69,-3.05,0.976,0.253,-0.053,57.7,-0.6,-17.9
a,55,-2.85,-12.38,-4.57,0.954,0.23,-0.005,61.1,1.4,-15.5
a,46,-5.17,-6.21,-5.31,0.933,0.198,-0.036,63.9,2.8,-13.7
Next Letter: b,,,,,,,,,,
b,43,-0.96,-0.48,-0.91,0.947,0.218,-0.061,76.1,13,-4.4
b,50,-2.73,0.68,-0.36,0.966,0.227,-0.075,76,12.9,-4.4
b,50,-0.1,-5.24,0.43,0.924,0.235,-0.067,76.1,13.1,-4.3
b,50,-2.12,0.07,-0.79,0.979,0.239,-0.079,76,13.1,-4.4
b,50,-1.14,-4.38,0.37,0.953,0.231,-0.083,76.2,13.1,-4.4
b,50,-0.04,0.99,1.9,0.931,0.252,-0.169,75.5,13.4,-5.2
b,50,28.46,27.36,26.43,1.299,0.287,-0.38,73.5,14.4,-5.7
b,52,89.31,-90.81,83.44,1.522,0.241,-0.553,78.2,19,-1.3
b,48,143.82,-96.48,155.95,1.462,0.036,-0.594,82.8,25.9,6.2
b,50,180.26,-205.31,218.81,1.239,-0.068,-0.431,89.7,29.3,11.7
b,50,207.84,-299.12,211.43,0.849,-0.137,-0.246,99.7,32.4,16.5
b,51,207.05,-297.29,127.75,0.465,-0.261,-0.008,106.8,32.1,19.4
b,50,133.93,-205.49,22.71,0.094,-0.275,-0.001,117,38.8,20.6
b,52,13.87,-86.96,-51.63,0.173,-0.064,0.026,121.6,39.5,17.9
b,49,-157.09,-16.71,-113.64,0.156,-0.134,0.151,122.4,31.8,12.3
b,49,-274.03,60.74,-162.23,0.423,-0.051,-0.02,119.4,18.4,4.4
b,51,-328.66,94.68,-175.47,0.373,0.111,-0.537,102.5,2.8,-12
b,49,-213.42,44.51,-138.49,1.377,0.189,-1.994,100.3,-7.6,-18.8
b,52,66.91,46.34,-47.6,1.37,-0.062,-2.167,97.9,-4.1,-21.3
b,49,210.04,-25.01,70.44,1.103,-0.349,-1.631,99.2,6.1,-17.8
b,52,275.96,-27.58,125.68,0.941,-0.314,-0.88,100.6,20.5,-11.3
b,48,243.85,-57.06,154.54,0.855,-0.205,-0.472,96.7,25.6,-7.5
b,52,163.1,11.85,168.4,0.514,-0.202,-0.169,91.1,25.9,-1.5
b,48,19.86,41.21,164.49,0.439,-0.176,0.113,85.4,19.6,7.4
b,59,-118.27,15.52,131.96,0.184,-0.05,0.105,84.5,12.7,15.2
b,42,-216.47,25.04,62.81,-0.119,0.018,-0.084,83.4,3.6,17.9
b,50,-227.15,80.94,-19.89,-0.125,0.187,-0.689,66,-4.4,3.5
b,50,-175.52,28.45,-118.77,-0.314,0.133,-1.337,52.9,-10.4,-13.4
b,50,-38.86,54.46,-243.71,0.333,0.042,-1.706,50.2,-12.3,-25.6
b,50,88.4,-21.53,-194.15,1.37,-0.027,-1.461,51.3,-7.9,-35.3
b,54,149.68,19.42,-99.61,0.892,-0.532,-0.974,50.2,0.2,-40.7
b,58,156.82,69.84,20.21,1.035,-0.56,-0.395,47.7,3.9,-36.3
b,40,84.86,4.65,96.32,0.756,-0.481,-0.276,48.5,1.6,-30.2
b,49,-7.67,33.89,133.06,0.509,-0.414,-0.299,46.5,-4.3,-23.8
b,50,-122.78,32.24,145.51,0.343,-0.236,-0.34,44.1,-12.7,-19.9
b,50,-194.87,34.56,123.11,0.089,-0.006,-0.568,37.4,-19.2,-23.9
b,51,-230.94,46.52,56.1,-0.051,0.135,-0.791,29.2,-24.9,-29.8
b,50,-206.83,-38.5,-67.81,-0.34,0.224,-0.965,23.6,-28.1,-38.3
b,51,-142.13,34.19,-176.2,-0.091,0.488,-1.398,18.1,-27.2,-50.7
b,49,-10.24,54.03,-257.38,0.733,0.586,-1.361,15.4,-27.7,-63.3
b,51,79.49,17.96,-186.95,1.039,0.557,-1.193,14.5,-23.6,-72.9
b,49,118.61,72.77,-108.15,0.941,0.08,-0.659,17.5,-14.5,-71.7
b,50,82.78,56.65,-25.39,0.718,0.008,-0.518,20.6,-8.7,-67.4
b,50,33.04,125.68,30.4,0.65,0.019,-0.436,20.6,-5.8,-61.1
b,50,-28.12,185.38,60.61,0.728,-0.003,-0.438,18.5,-6.2,-54
b,50,-91.53,206.25,71.72,0.776,0.02,-0.376,16.6,-8.9,-46.7
b,50,-136.82,176.22,55,0.804,0.096,-0.381,16.2,-12.5,-41.1
b,50,-145.92,149.73,17.34,0.751,0.114,-0.349,17,-15.6,-37.9
b,50,-133.34,127.39,-13.91,1.02,0.261,-0.361,19,-16.9,-35.7
b,50,-96.36,94.37,-40.28,0.805,0.152,-0.18,23.2,-16.9,-33.9
b,50,-90.56,76.18,-23.86,1.482,0.371,-0.135,27.7,-16.1,-30.6
b,50,-34.77,-80.31,10.14,1.323,0.342,-0.373,31.7,-17.9,-30.1
b,50,-2.42,-16.41,6.47,0.799,0.258,-0.081,38.4,-12.6,-26.1
b,50,-12.98,-35.88,0.37,0.847,0.245,0.063,45.2,-8.9,-21.6
b,50,-19.33,10.39,-4.76,0.924,0.249,0.015,49.2,-6.1,-18.4
b,50,-10.54,0.99,-3.6,1.016,0.264,-0.008,53.1,-3.4,-15.9
b,50,-2.91,-3.59,-0.97,0.94,0.244,-0.003,56.6,-0.9,-13.5
b,50,1.18,2.94,-2.44,0.959,0.231,-0.018,59.4,1.3,-11.8
b,50,-1.32,-0.66,-0.06,0.955,0.22,-0.027,62.1,3,-10.2
b,50,-2.18,-1.94,1.65,0.966,0.219,-0.03,64.4,4.4,-8.9
Next Letter: c,,,,,,,,,,
c,51,-0.41,0.13,-1.03,0.96,0.24,-0.013,76.1,13.8,-1.4
c,48,-4.25,-1.09,-0.48,0.952,0.244,-0.01,76.1,13.7,-1.3
c,71,-4.74,0.13,-1.71,0.958,0.257,-0.036,75.9,13.6,-1.5
c,29,-3.7,-2.31,-1.4,0.95,0.238,-0.015,76,13.6,-1.5
c,52,-4.68,-1.39,-1.77,0.953,0.222,-0.018,76.2,13.3,-1.5
c,77,-5.35,-5.24,-1.09,0.963,0.255,-0.03,76.3,13.2,-1.6
c,41,-3.77,-1.21,-2.44,0.944,0.244,-0.01,76.3,13.2,-1.5
c,32,-6.7,-5.3,-1.09,0.977,0.25,-0.037,76.3,13.2,-1.6
c,50,-2.61,-4.44,-1.03,0.957,0.238,-0.068,76.4,13.2,-2
c,49,10.64,8.13,6.53,1.085,0.299,-0.246,75.1,13.9,-3.3
c,50,92.24,-1.51,84.48,1.577,0.357,-0.555,75.2,18.5,0.9
c,58,144.24,-61.94,153.14,1.391,0.006,-0.455,77.8,22.9,5.6
c,57,123.86,-167.04,182.87,1.235,-0.301,-0.182,85.3,23.4,12.4
c,37,75.27,-327.81,153.57,0.999,-0.432,-0.331,92,18.9,12.8
c,49,28.03,-359,130.86,0.932,-0.577,-0.214,101.7,12.6,14.7
c,52,-46.55,-341.91,128.36,0.719,-0.416,-0.392,109.2,4.6,14.4
c,48,-44.84,-280.81,103.82,0.118,-0.155,-0.772,105.6,0.4,5.1
c,50,39.51,-180.53,10.07,-0.271,0.342,-0.866,95,5.1,-4.7
c,52,92.73,-121.14,-75.56,-0.366,0.419,-0.631,82.2,12.9,-14.7
c,54,101.34,-51.87,-133.05,-0.174,0.188,-0.334,68.6,19.6,-26.4
c,45,63.13,-25.87,-179.32,-0.049,-0.04,-0.212,69.8,22.5,-34.5
c,52,9.6,39.75,-213.38,0.143,-0.273,-0.191,61,12.2,-43.5
c,48,-43.62,76.92,-211.18,0.645,-0.544,-0.281,55.7,2.9,-48.4
c,56,-89.03,54.94,-198.91,0.878,-0.544,-0.312,52.9,-6.3,-53.1
c,45,-129.74,66.6,-161.25,0.921,-0.528,-0.49,50.2,-14.3,-55
c,50,-155.01,79.91,-104.06,0.97,-0.728,-0.647,46.2,-22.1,-60.2
c,51,-184.86,54.21,-43.45,1.025,-0.469,-0.801,43.5,-31.5,-62.5
c,48,-184.19,57.2,24.36,1.069,-0.303,-0.937,40.7,-40.4,-61.3
c,50,-143.78,6.48,96.81,1.015,0.073,-1.089,40.4,-47.5,-56.4
c,50,-105.27,-0.23,145.33,0.947,0.251,-1.065,40.4,-52.8,-49.2
c,51,-51.8,22.78,159.12,0.622,0.203,-0.936,38.3,-45.6,-43.2
c,52,-29.71,-28.19,125.61,0.5,0.276,-0.787,38.4,-37.6,-39.2
c,47,-9.81,-8.29,80.88,0.299,0.276,-0.685,36.3,-29.3,-39
c,106,-2.48,38.1,24.42,0.433,0.23,-0.575,32.7,-22.5,-38.4
c,0,-3.77,80.27,-1.95,0.571,0.133,-0.504,34.9,-17.6,-38.7
c,44,-8.1,136.85,-18.8,0.75,0.028,-0.426,33.6,-15,-38.1
c,50,-19.88,136,-23.8,0.885,-0.031,-0.257,33.9,-13.9,-35.8
c,50,-29.52,116.1,-40.34,0.878,-0.054,-0.251,34.9,-13.6,-34.5
c,51,-32.82,126.6,-51.51,0.962,-0.074,-0.171,36,-13.6,-33.1
c,52,-35.14,88.7,-62.68,1.027,0.002,-0.169,38.8,-13.1,-32.3
c,48,-41.67,75.88,-50.59,1.148,0.024,-0.121,42.5,-12.7,-30.4
c,49,-40.39,29.13,-36.25,1.098,0.058,-0.083,47.6,-12,-28
c,51,-49.6,6.3,-20.87,1.049,0.102,-0.056,52.7,-11.5,-25.2
c,50,-51.19,-0.9,-19.04,0.962,0.18,-0.073,56.6,-10.4,-22.9
c,50,-39.65,0.32,-9.15,1.065,0.222,-0.313,58.7,-8.8,-22.2
c,51,19.92,-19.82,-1.89,0.878,0.212,-0.069,62.1,-4.6,-19.6
c,49,10.52,-19.76,2.93,0.957,0.18,0.112,65.2,-1.9,-15.6
c,50,2.58,-0.96,-1.03,0.954,0.217,-0.03,67,0.4,-13.6
c,53,5.63,-6.4,2.45,0.968,0.212,-0.065,68.8,2.5,-12
c,48,5.88,3.74,0.06,0.967,0.2,-0.032,70.1,4.1,-10.5
c,50,-0.29,0.01,-1.34,0.969,0.192,-0.036,71.4,5.1,-9.3
c,51,-3.58,0.01,-1.16,0.961,0.197,-0.043,72.4,6,-8.3
c,50,-3.83,-2.8,-1.34,0.963,0.192,-0.031,73.4,6.6,-7.4
c,49,-4.5,-0.6,-1.58,0.965,0.214,-0.025,74,7.3,-6.6
c,50,-3.52,1.29,-1.34,0.972,0.217,-0.01,74.5,7.9,-5.7
c,50,-2.48,0.38,-1.4,0.955,0.211,-0.025,74.9,8.5,-5.1
c,50,-1.87,-7.25,0.37,1.003,0.221,-0.024,75.6,9,-4.6
c,53,-1.63,-3.96,1.29,0.923,0.209,-0.043,76,9.5,-4.2
c,48,0.75,0.44,0.19,0.971,0.206,-0.038,76.3,9.9,-3.9
c,50,0.45,-1.82,0.25,0.972,0.211,-0.035,76.5,10.3,-3.6
Next Letter: d,,,,,,,,,,
d,49,-3.16,-1.33,-1.09,0.988,0.219,-0.064,77.7,11.8,-3.2
d,52,-3.83,-1.57,-0.06,0.948,0.218,-0.05,77.6,11.8,-3.2
d,48,-2.61,-4.93,-1.03,0.97,0.212,-0.067,77.7,11.8,-3.3
d,52,-0.47,-0.66,-0.06,0.944,0.179,-0.058,77.9,11.6,-3.3
d,48,3.68,-7.19,1.71,0.946,0.24,-0.097,77.7,12.1,-3.6
d,53,11.55,24.85,-0.67,0.929,0.236,-0.143,75.9,13,-4.4
d,47,60.63,15.27,9.59,1.092,0.36,-0.382,73.6,16,-6.1
d,50,132.28,5.63,57.19,1.513,0.363,-0.376,73.3,22.6,-3.2
d,51,144.24,-100.51,138.8,1.669,0.117,-0.511,78.4,30,3.8
d,49,149.31,-196.03,221.38,1.509,-0.121,-0.405,88,37.3,14.7
d,50,154.99,-311.45,227.97,0.873,-0.188,-0.145,99.3,36.5,20.8
d,50,166.4,-324.82,171.09,0.574,-0.294,-0.018,107.6,34,24.7
d,65,143.7,-284.72,53.9,0.023,-0.34,0.121,126.1,43.4,28.2
d,36,61.54,-126.51,-40.89,0.044,-0.188,-0.095,130.7,45.6,26.7
d,50,-39.35,-12.93,-79.65,0.282,-0.178,0.034,131.3,43.6,22.8
d,51,-189.56,21.92,-110.59,0.386,-0.146,-0.051,120.9,25.8,13.5
d,50,-263.41,35.96,-113.89,0.344,-0.183,-0.507,106.1,8.2,-1.2
d,50,-241.01,67.52,-98.93,0.688,-0.345,-1.03,102.8,-3.8,-6.2
d,50,-139.57,42.19,-54.2,0.74,-0.166,-1.716,100.7,-10.8,-8.9
d,50,34.14,32.24,9.59,1.015,-0.263,-1.879,99.1,-9.1,-8.4
d,54,165.67,-35.94,77.34,0.792,-0.477,-1.264,101,-0.1,-4.2
d,47,213.64,-88.18,119.21,0.7,-0.536,-0.807,105.1,9.9,1.4
d,49,194.23,-113.7,130.99,0.535,-0.636,-0.59,98.8,10.7,1.3
d,50,127.95,-38.99,120.67,0.333,-0.54,-0.435,89.5,7.9,1.1
d,50,52.75,-15.55,126.77,0.408,-0.34,-0.354,82.7,4.1,1.2
d,50,-28.06,33.09,137.09,0.174,-0.219,-0.174,73.7,-4,2.1
d,50,-122.97,45.06,119.63,0.112,-0.097,-0.065,71.4,-10.1,8.1
d,50,-188.46,83.87,88.63,0.007,-0.047,-0.201,67.2,-19.5,12.5
d,54,-201.09,128.74,31.07,-0.225,0.273,-0.69,48.7,-22.7,2.6
d,47,-118.76,164.68,-64.75,0.179,0.313,-1.094,36.2,-21.7,-11.1
d,50,-58.76,89.49,-144.34,0.208,0.23,-1.338,28.3,-19.5,-27.1
d,50,8.38,77.1,-187.19,0.55,0.124,-1.388,24.4,-19.1,-36.5
d,50,64.53,13.44,-193.72,0.756,-0.032,-1.136,25.2,-13.7,-47.7
d,50,74.18,-12.19,-171.14,0.742,-0.226,-0.895,27.8,-10.1,-55.2
d,50,52.63,17.22,-99.18,0.853,-0.455,-0.649,29.9,-9.8,-56.2
d,50,16.68,5.2,-39.73,0.737,-0.36,-0.561,32.4,-10.8,-54.6
d,51,-9.08,38.04,4.28,0.687,-0.277,-0.569,33,-12.2,-51.9
d,49,-24.03,53.6,27.65,0.615,-0.109,-0.643,32.3,-12.4,-49.8
d,51,-25.01,102.49,31.62,0.54,-0.018,-0.697,28.7,-11.8,-48.8
d,49,-28.73,212.17,21.67,0.533,-0.024,-0.592,21.8,-11.5,-47.8
d,50,-67,212.9,8.43,0.912,-0.039,-0.315,20.1,-13,-43.1
d,50,-100.87,118.73,-5.25,0.921,-0.02,-0.344,22.5,-15.5,-39.9
d,50,-122.66,78.08,-18.98,0.874,0.04,-0.415,25.5,-18,-38.6
d,50,-109.17,70.87,-32.59,0.966,0.175,-0.347,28.8,-18.5,-37.1
d,50,-90.01,63.12,-25.57,1.215,0.382,-0.264,32.2,-17,-34.4
d,50,-49.42,69.16,-12.69,1.005,0.268,-0.113,35.5,-14.3,-30.7
d,55,-30.93,57.93,-5.61,1.047,0.176,-0.1,39.3,-12.2,-27.1
d,45,-21.1,-10.24,-4.57,1.109,0.126,-0.133,45.9,-10.2,-24.3
d,51,2.58,-0.05,1.35,0.846,0.135,-0.14,50.6,-7.2,-22
d,50,-3.83,-16.47,4.58,1.031,0.185,0.035,55.7,-4.8,-18.2
d,50,-15.06,-3.1,2.32,0.912,0.223,-0.027,58.9,-2.6,-15.6
d,50,-9.5,-4.44,-1.52,0.976,0.219,-0.048,61.8,-0.8,-13.7
d,50,-4.62,-0.78,-0.67,0.976,0.186,-0.018,64.4,0.8,-11.9
d,50,-2.54,-1.45,0.55,0.973,0.187,-0.014,66.7,2.2,-10.2
d,50,0.87,-0.48,0.25,0.973,0.2,-0.022,68.5,3.6,-8.8
d,51,1.3,0.01,1.16,0.97,0.198,-0.015,70,4.9,-7.6
d,51,-1.93,-6.76,1.16,0.98,0.204,-0.021,71.5,5.8,-6.6
d,49,3.86,-6.15,0.68,0.943,0.188,-0.045,72.8,6.8,-6
d,52,1.91,-1.88,-0.06,0.953,0.172,-0.036,73.9,7.4,-5.4
d,49,-0.9,-0.96,0.13,0.99,0.189,-0.039,74.7,7.9,-4.9
Next Letter: e,,,,,,,,,,
e,50,-2,-1.94,-1.83,0.956,0.18,-0.048,79,10.4,-3.1
e,50,-1.63,-0.54,-1.64,0.969,0.187,-0.048,78.9,10.4,-3.1
e,52,-0.53,-1.33,-1.34,0.963,0.178,-0.045,79,10.4,-3.1
e,54,-0.47,2.27,-0.24,0.972,0.186,-0.049,78.9,10.4,-3
e,44,-1.57,-2.31,0.43,0.962,0.188,-0.055,78.9,10.5,-3.1
e,56,-4.38,0.56,-0.48,0.974,0.181,-0.062,78.9,10.3,-3.2
e,46,-3.64,-6.76,1.59,0.968,0.204,-0.056,79,10.4,-3.1
