M5#, time(ms), gX (deg/s), gY (deg/s), gZ (deg/s), aX (g), aY (g), aZ (g), pitch (deg), roll (deg), yaw (deg)
e,49,60.5,-69.51,-124.57,0.612,-1.311,0.369,31.1,-17.1,-56.3
e,50,-54.49,19.24,-55.9,0.493,-1.386,0.427,30.1,-19.8,-59.1
e,50,-192.91,159.44,12.27,0.766,-0.925,0.261,24.6,-32.4,-47.8
e,50,-293.13,122.14,78.92,0.975,-0.35,-0.454,24.6,-42.7,-40.9
e,50,-269.63,138.56,93.08,0.745,0.282,-0.771,21.4,-45.5,-37.4
e,50,-166.12,166.09,31.68,0.384,0.333,-1.018,14.1,-43.2,-39.9
e,50,-66.51,365.19,-32.16,0.706,0.095,-0.374,5.6,-38.5,-39.5
e,50,-41.3,327.77,-79.46,1.149,0.02,0.13,3.4,-34.4,-36
e,50,-25.19,162.85,-104,1.139,-0.134,0.128,8.1,-31.3,-34
e,50,-1.81,146.68,-101.13,1.136,-0.189,0.169,12.2,-28.1,-32
e,51,10.39,147.72,-74.76,1.215,-0.151,0.281,15.3,-24.4,-28.5
e,49,-2.54,99.13,-41.68,1.22,-0.177,0.309,19.9,-22.1,-23.8
e,51,51.35,23.39,11.05,1.07,-0.126,0.276,27.1,-17.5,-17.6
Next Letter: f,,,,,,,,,,
f,51,-0.84,0.56,0.68,0.926,0.072,0.401,66.7,3.5,23.1
f,51,-2.12,-2.73,0.8,0.916,0.052,0.399,66.7,3.3,23.2
f,50,0.93,-0.05,0.92,0.921,0.064,0.401,66.6,3.4,23.3
f,51,-2.61,-2.31,0.31,0.937,0.086,0.395,66.7,3.5,23.2
f,83,-0.1,-1.45,0.19,0.919,0.065,0.389,66.9,3.5,23.2
f,17,-3.34,-2.37,-0.85,0.934,0.062,0.387,66.9,3.5,23.1
f,50,-4.56,-5.54,0.37,0.962,0.083,0.368,67.4,3.5,22.7
f,50,-3.7,-6.82,10.93,1.146,0.123,0.123,69.8,3.7,20.7
f,50,56.9,-15.06,95.4,1.854,0,-0.081,73.1,5.6,21.3
f,50,85.96,-162.28,219.55,1.968,-0.064,0.102,81.2,9.9,32.3
f,50,79.49,-314.81,302.68,1.649,-0.158,0.243,97,13.8,47.4
f,50,90.47,-473.86,292.55,1.101,-0.271,0.18,113.6,13.6,54.1
